Grupo Etario|CIE-10|_resultado|_k
E|I83.0|CIRUGIA VASCULAR|1.0
E|I83.1|MF|0.0
E|I83.2|CIRUGIA VASCULAR|1.0
E|I83.9|MG|0.0
E|I84.0|CIRUGIA GENERAL|1.0
E|I84.1|GASTROENTEROLOGIA|1.0
E|I84.2|MF|0.0
E|I84.3|CIRUGIA GENERAL|1.0
E|I84.4|GASTROENTEROLOGIA|2.0
E|I84.5|MF|0.0
E|I84.6|MF|0.0
E|I84.7|CIRUGIA GENERAL|1.0
E|I84.8|GASTROENTEROLOGIA|1.0
E|I84.9|MF|0.0
E|I87.0|CIRUGIA VASCULAR|1.0
E|I87.1|CIRUGIA VASCULAR|1.0
E|I87.2|CIRUGIA VASCULAR|2.0
E|I87.8|MF|0.0
E|I87.9|MF|0.0
E|J00|MG|0.0
E|J02.0|MG|0.0
E|J02.8|MG|0.0
E|J02.9|MG|0.0
E|J20.0|MF|0.0
E|J20.1|MG|0.0
E|J20.2|MG|0.0
E|J20.4|MG|0.0
E|J20.5|MG|0.0
E|J20.6|MG|0.0
E|J20.8|MG|0.0
E|J20.9|MG|0.0
E|J30.0|MF|0.0
E|J30.1|MF|0.0
E|J30.2|MF|0.0
E|J30.3|MF|0.0
E|J30.4|MF|0.0
E|J31.0|MF|0.0
E|J31.1|MG|0.0
E|J31.2|MF|0.0
E|J45.0|MF|0.0
E|J45.1|MF|0.0
E|J45.8|MF|0.0
E|J45.9|MF|0.0
E|J84.0|NEUMOLOGIA|1.0
E|J84.1|NEUMOLOGIA|2.0
E|J84.8|NEUMOLOGIA|1.0
E|J84.9|NEUMOLOGIA|2.0
E|K30|MF|0.0
E|K21.0|GASTROENTEROLOGIA|2.0
E|K21.9|MF|0.0
E|K29.0|GASTROENTEROLOGIA|1.0
E|K29.1|MF|0.0
E|K29.2|MF|0.0
E|K29.3|MF|0.0
E|K29.4|MF|0.0
E|K29.5|MF|0.0
E|K29.6|MF|0.0
E|K29.7|MF|0.0
E|K29.8|MF|0.0
E|K29.9|GASTROENTEROLOGIA|1.0
E|K40.0|CIRUGIA GENERAL|1.0
E|K40.2|CIRUGIA GENERAL|1.0
E|K40.3|CIRUGIA GENERAL|1.0
E|K40.4|CIRUGIA GENERAL|1.0
E|K40.9|CIRUGIA GENERAL|1.0
E|K58.0|MF|0.0
E|K58.9|MF|0.0
E|K59.0|MG|0.0
E|K59.1|MG|0.0
E|K59.2|GASTROENTEROLOGIA|1.0
E|K59.3|GASTROENTEROLOGIA|2.0
E|K59.4|GASTROENTEROLOGIA|2.0
E|K59.8|MG|0.0
E|K59.9|MG|0.0
E|K76.0|MF|0.0
E|K76.4|GASTROENTEROLOGIA|1.0
E|K76.6|GASTROENTEROLOGIA|1.0
E|K76.8|MF|0.0
E|K76.9|MF|0.0
E|K80.0|CIRUGIA GENERAL|1.0
E|K80.1|CIRUGIA GENERAL|2.0
E|K80.2|CIRUGIA GENERAL|1.0
E|K80.3|GASTROENTEROLOGIA|1.0
E|K80.4|GASTROENTEROLOGIA|1.0
E|K80.5|CIRUGIA GENERAL|2.0
E|K80.8|CIRUGIA GENERAL|1.0
E|L30.0|MF|0.0
E|L30.1|DERMATOLOGIA|1.0
E|L30.2|MF|0.0
E|L30.3|MF|0.0
E|L30.4|MF|0.0
E|L30.5|MF|0.0
E|L30.8|MF|0.0
E|L30.9|MG|0.0
E|M05.2|REUMATOLOGIA|1.0
E|M05.3|REUMATOLOGIA|1.0
E|M05.8|REUMATOLOGIA|1.0
E|M05.9|REUMATOLOGIA|1.0
E|M15.0|GERIATRIA|1.0
E|M15.1|REUMATOLOGIA|1.0
E|M15.2|REUMATOLOGIA|2.0
E|M15.3|REUMATOLOGIA|1.0
E|M15.4|REUMATOLOGIA|2.0
E|M15.8|REUMATOLOGIA|1.0
E|M15.9|GERIATRIA|1.0
E|M16.0|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M16.1|GERIATRIA|1.0
E|M16.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M16.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M16.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0
