Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
D|M81.5|REUMATOLOGIA|4.0|
D|M81.6|REUMATOLOGIA|1.0|
D|M81.8|MF|0.0|
D|M81.9|MF|0.0|
D|M85.0|REUMATOLOGIA|1.0|
D|M85.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M85.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M85.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|M85.8|MF|0.0|
D|M85.9|MF|0.0|
D|N40|UROLOGIA GENERAL|1.0|
D|N20.0|UROLOGIA GENERAL|1.0|
D|N20.1|UROLOGIA GENERAL|1.0|
D|N20.2|UROLOGIA GENERAL|1.0|
D|N20.9|UROLOGIA GENERAL|3.0|
D|N30.0|MF|0.0|
D|N30.1|UROLOGIA GENERAL|1.0|
D|N30.2|UROLOGIA GENERAL|1.0|
D|N30.3|MF|0.0|
D|N30.4|UROLOGIA GENERAL|2.0|
D|N30.8|MF|0.0|
D|N30.9|MF|0.0|
D|N39.0|MF|0.0|
D|N39.1|NEFROLOGIA|2.0|
D|N39.3|UROLOGIA GENERAL|1.0|
D|N39.4|UROLOGIA GENERAL|2.0|
D|N39.8|MG|0.0|
D|N39.9|MF|0.0|
D|N41.0|MF|0.0|
D|N41.1|UROLOGIA GENERAL|1.0|
D|N41.3|UROLOGIA GENERAL|1.0|
D|N41.8|UROLOGIA GENERAL|1.0|
D|N41.9|UROLOGIA GENERAL|1.0|
D|N60.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N60.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N60.2|GINECOLOGIA Y OBSTETRICIA|5.0|
D|N60.3|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N60.4|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N60.8|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N60.9|GINECOLOGIA Y OBSTETRICIA|5.0|
D|N64.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N64.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N64.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N64.3|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N64.4|MF|0.0|
D|N64.5|MF|0.0|
D|N64.8|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N64.9|MF|0.0|
D|N73.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N73.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N73.6|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N73.8|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N73.9|MF|0.0|
D|N76.0|MF|0.0|
D|N76.1|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N76.2|MF|0.0|
D|N76.3|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N76.4|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N76.6|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N76.8|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N77.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N77.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N81.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N81.1|UROLOGIA GENERAL|1.0|
D|N81.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N81.3|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N81.4|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N81.5|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N81.6|CIRUGIA GENERAL|1.0|
D|N81.8|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N81.9|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N83.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N83.1|GINECOLOGIA Y OBSTETRICIA|1.0|
