Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
C|M23.9|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
C|M25.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M25.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M25.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M25.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M25.5|MG|0.0|
C|M25.6|MF|0.0|
C|M25.7|ORTOPEDIA Y TRAUMATOLOGIA|4.0|
C|M25.9|MF|0.0|
C|M41.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M41.2|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
C|M41.3|MEDICINA INTERNA|1.0|
C|M41.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M41.9|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
C|M51.0|NEUROCIRUGIA|1.0|
C|M51.1|NEUROCIRUGIA|1.0|
C|M51.2|NEUROCIRUGIA|1.0|
C|M51.3|NEUROCIRUGIA|1.0|
C|M51.8|NEUROCIRUGIA|1.0|
C|M51.9|NEUROCIRUGIA|1.0|
C|M54.0|MF|0.0|
C|M54.1|NEUROCIRUGIA|1.0|
C|M54.2|MG|0.0|
C|M54.3|MEDICINA INTERNA|1.0|
C|M54.4|MEDICINA INTERNA|1.0|
C|M54.5|MG|0.0|
C|M54.6|MG|0.0|
C|M54.8|MG|0.0|
C|M54.9|MG|0.0|
C|M62.0|CIRUGIA GENERAL|1.0|
C|M62.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M62.4|MF|0.0|
C|M62.6|MF|0.0|
C|M62.8|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
C|M62.9|MF|0.0|
C|M65.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M65.3|ORTOPEDIA Y TRAUMATOLOGIA|3.0|
C|M65.4|MEDICINA FISICA Y REHABILITACION|1.0|
C|M65.8|MF|0.0|
C|M65.9|MF|0.0|
C|M67.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M67.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M67.3|MF|0.0|
C|M67.4|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
C|M67.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M67.9|MEDICINA INTERNA|1.0|
C|M75.0|MEDICINA FISICA Y REHABILITACION|1.0|
C|M75.1|MEDICINA FISICA Y REHABILITACION|1.0|
C|M75.2|MEDICINA FISICA Y REHABILITACION|3.0|
C|M75.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M75.4|MEDICINA FISICA Y REHABILITACION|2.0|
C|M75.5|MEDICINA FISICA Y REHABILITACION|1.0|
C|M75.8|ORTOPEDIA Y TRAUMATOLOGIA|2.0|
C|M75.9|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|M79.0|REUMATOLOGIA|2.0|
C|M79.1|MF|0.0|
C|M79.2|NEUROLOGIA|2.0|
C|M79.3|MEDICINA INTERNA|2.0|
C|M79.5|CIRUGIA GENERAL|1.0|
C|M79.6|MG|0.0|
C|M79.7|REUMATOLOGIA|2.0|
C|M79.8|MF|0.0|
C|M79.9|MF|0.0|
C|N20.0|UROLOGIA GENERAL|2.0|
C|N20.1|UROLOGIA GENERAL|1.0|
C|N20.2|UROLOGIA GENERAL|1.0|
C|N20.9|UROLOGIA GENERAL|1.0|
C|N30.0|MG|0.0|
C|N30.1|UROLOGIA GENERAL|1.0|
C|N30.2|UROLOGIA GENERAL|2.0|
C|N30.9|MG|0.0|
C|N39.0|MG|0.0|
C|N39.1|NEFROLOGIA|2.0|
C|N39.3|UROLOGIA GENERAL|2.0|
C|N39.4|UROLOGIA GENERAL|2.0|
C|N39.8|MF|0.0|
C|N39.9|MF|0.0|
C|N41.0|UROLOGIA GENERAL|2.0|
C|N41.1|UROLOGIA GENERAL|2.0|
C|N41.3|UROLOGIA GENERAL|1.0|
C|N41.8|UROLOGIA GENERAL|2.0|
C|N41.9|UROLOGIA GENERAL|1.0|
C|N60.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N60.1|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N60.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N60.3|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N60.4|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N60.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N60.9|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N64.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N64.1|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N64.3|ENDOCRINOLOGIA|1.0|
C|N64.4|MF|0.0|
C|N64.5|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N64.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N64.9|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N73.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N73.6|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N73.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N73.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N76.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N76.1|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N76.2|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N76.3|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N76.4|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N76.6|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N76.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N77.1|MF|0.0|
C|N77.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N83.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N83.1|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N83.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N83.5|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N83.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N87.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N87.1|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N87.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N87.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N91.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N91.1|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N91.2|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N91.3|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N91.4|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N91.5|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N92.0|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N92.1|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N92.2|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N92.3|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N92.5|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N92.6|GINECOLOGIA Y OBSTETRICIA|2.0|
